운행일자,노선,운행거리(Km),운행건수
2018-03-01,17,1154.244 ,98 
2018-03-01,2,1083.420 ,66 
2018-03-01,3,859.277 ,60 
2018-03-01,5,729.793 ,65 
2018-03-01,100,5582.873 ,100 
2018-03-01,101,4023.831 ,111 
2018-03-01,1014,1470.374 ,117 
2018-03-01,1017,1558.934 ,67 
2018-03-01,102,3014.885 ,99 
2018-03-01,1020,2566.310 ,121 
2018-03-01,103,3756.899 ,131 
2018-03-01,104,4550.895 ,152 
2018-03-01,105,3684.204 ,95 
2018-03-01,106,5252.044 ,109 
2018-03-01,107,5200.902 ,80 
2018-03-01,108,6917.648 ,80 
2018-03-01,109,2017.764 ,74 
2018-03-01,110A,3706.902 ,101 
2018-03-01,110B,3707.508 ,101 
2018-03-01,1111,3956.371 ,155 
2018-03-01,1113,775.232 ,64 
2018-03-01,1114,818.305 ,99 
2018-03-01,1115,702.360 ,72 
2018-03-01,1119,3260.210 ,160 
2018-03-01,1120,1250.202 ,69 
2018-03-01,1122,2939.435 ,153 
2018-03-01,1124,1070.846 ,105 
2018-03-01,1126,2577.280 ,140 
2018-03-01,1127,1781.120 ,88 
2018-03-01,1128,2193.094 ,83 
2018-03-01,1129,583.776 ,66 
2018-03-01,1130,934.303 ,119 
2018-03-01,1131,660.061 ,42 
2018-03-01,1132,3011.644 ,154 
2018-03-01,1133,1093.639 ,85 
2018-03-01,1135,1702.394 ,96 
2018-03-01,1136,947.554 ,90 
2018-03-01,1137,3135.422 ,128 
2018-03-01,1138,970.145 ,55 
2018-03-01,1139,2110.050 ,90 
2018-03-01,1140,892.808 ,56 
2018-03-01,1141,621.850 ,42 
2018-03-01,1142,1882.882 ,187 
2018-03-01,1143,1795.410 ,72 
2018-03-01,1144,2784.420 ,82 
2018-03-01,1154,2296.936 ,83 
2018-03-01,1155,2943.147 ,95 
2018-03-01,1156,1560.684 ,72 
2018-03-01,1162,818.903 ,105 
2018-03-01,1164,1538.515 ,176 
2018-03-01,1165,2997.832 ,144 
2018-03-01,1166,847.914 ,48 
2018-03-01,120,5189.398 ,157 
2018-03-01,121,3455.158 ,104 
2018-03-01,1213,2871.422 ,109 
2018-03-01,1218,3720.290 ,112 
2018-03-01,1221,906.043 ,58 
2018-03-01,1222,1813.929 ,98 
2018-03-01,1224,3700.581 ,119 
2018-03-01,1226,207.134 ,26 
2018-03-01,1227,1979.577 ,84 
2018-03-01,130,7598.043 ,157 
2018-03-01,140,7463.619 ,112 
2018-03-01,141,6510.402 ,120 
2018-03-01,142,7013.212 ,118 
2018-03-01,143,7769.425 ,128 
2018-03-01,144,6278.242 ,130 
2018-03-01,145,6301.081 ,138 
2018-03-01,146,8043.377 ,141 
2018-03-01,147,5731.439 ,125 
2018-03-01,148,6237.204 ,137 
2018-03-01,150,6627.305 ,95 
2018-03-01,151,5620.715 ,120 
2018-03-01,152,8402.038 ,132 
2018-03-01,153,8995.784 ,140 
2018-03-01,160,7100.397 ,102 
2018-03-01,162,4225.013 ,120 
2018-03-01,171,5277.718 ,125 
2018-03-01,1711,3977.640 ,142 
2018-03-01,172,5113.705 ,109 
2018-03-01,173,3805.849 ,87 
2018-03-01,201,3065.675 ,63 
2018-03-01,2012,2445.799 ,66 
2018-03-01,2013,1613.663 ,79 
2018-03-01,2014,2053.597 ,110 
2018-03-01,2015,3076.939 ,104 
2018-03-01,2016,5401.831 ,91 
2018-03-01,202,6018.772 ,117 
2018-03-01,2112,2580.926 ,66 
2018-03-01,2113,1898.788 ,100 
2018-03-01,2114,1970.810 ,85 
2018-03-01,2115,4616.628 ,130 
2018-03-01,2211,1936.092 ,108 
2018-03-01,2221,2776.523 ,113 
2018-03-01,2222,1793.172 ,89 
2018-03-01,2224,1495.780 ,84 
2018-03-01,2227,1725.156 ,69 
2018-03-01,2230,2251.480 ,77 
2018-03-01,2233,2529.060 ,60 
2018-03-01,2234,1034.682 ,70 
2018-03-01,2235,1279.345 ,78 
2018-03-01,2311,4369.197 ,76 
2018-03-01,2312A,1573.447 ,36 
2018-03-01,2312B,1575.187 ,36 
2018-03-01,240,3553.340 ,85 
2018-03-01,241,4856.240 ,94 
2018-03-01,2412,2686.021 ,80 
2018-03-01,2413,2080.376 ,80 
2018-03-01,2415,3103.473 ,122 
2018-03-01,242,3017.532 ,68 
2018-03-01,260,5367.651 ,107 
2018-03-01,261,6097.655 ,121 
2018-03-01,262,6017.114 ,106 
2018-03-01,270,5791.123 ,115 
2018-03-01,271,6371.989 ,122 
2018-03-01,272,7701.518 ,173 
2018-03-01,273,5355.820 ,122 
2018-03-01,301,6868.074 ,144 
2018-03-01,3011,2879.256 ,68 
2018-03-01,3012,5395.958 ,88 
2018-03-01,302,5083.681 ,92 
2018-03-01,303,7616.112 ,140 
2018-03-01,320,4241.238 ,108 
2018-03-01,3212,1576.874 ,61 
2018-03-01,3214,2475.071 ,90 
2018-03-01,3216,3011.083 ,86 
2018-03-01,3217,2586.210 ,85 
2018-03-01,3220,2775.340 ,70 
2018-03-01,3313,1456.000 ,112 
2018-03-01,3314,2861.009 ,121 
2018-03-01,3315,4189.374 ,189 
2018-03-01,3316,2046.362 ,108 
2018-03-01,3317,2645.567 ,156 
2018-03-01,3318,3043.694 ,65 
2018-03-01,3319,1288.503 ,55 
2018-03-01,3321,1437.360 ,60 
2018-03-01,3322,2530.040 ,95 
2018-03-01,333,4512.758 ,99 
2018-03-01,340,5791.999 ,141 
2018-03-01,341,3734.780 ,70 
2018-03-01,3411,3214.971 ,96 
2018-03-01,3412,4279.518 ,69 
2018-03-01,3413,3854.056 ,89 
2018-03-01,3414,2410.795 ,80 
2018-03-01,3416,1869.264 ,80 
2018-03-01,3417,3049.532 ,124 
2018-03-01,342,3687.736 ,82 
2018-03-01,3422,2018.111 ,51 
2018-03-01,3425,2007.648 ,72 
2018-03-01,3426,2693.730 ,78 
2018-03-01,350,4120.992 ,82 
2018-03-01,360,7481.204 ,136 
2018-03-01,362,5739.331 ,92 
2018-03-01,370,8661.577 ,170 
2018-03-01,400,3036.201 ,63 
2018-03-01,401,3997.800 ,77 
2018-03-01,402,6034.117 ,110 
2018-03-01,405,3036.219 ,70 
2018-03-01,406,3163.906 ,78 
2018-03-01,407,3611.232 ,72 
2018-03-01,420,6398.930 ,145 
2018-03-01,421,6687.747 ,117 
2018-03-01,4211,2773.415 ,83 
2018-03-01,4212,5745.166 ,158 
2018-03-01,4318방배,3612.615 ,70 
2018-03-01,4318풍납,3601.889 ,70 
2018-03-01,4319,3830.372 ,112 
2018-03-01,440,5570.408 ,116 
2018-03-01,441,6168.780 ,102 
2018-03-01,4412,3536.261 ,94 
2018-03-01,4419,5077.274 ,90 
2018-03-01,4432,3123.912 ,130 
2018-03-01,4433,1223.860 ,110 
2018-03-01,4435,2102.874 ,72 
2018-03-01,461,5979.552 ,96 
2018-03-01,462,9470.221 ,122 
2018-03-01,463,4656.056 ,94 
2018-03-01,470,6199.263 ,108 
2018-03-01,471,8154.598 ,124 
2018-03-01,472,5379.586 ,136 
2018-03-01,500,4046.856 ,92 
2018-03-01,501,3024.208 ,112 
2018-03-01,5012,3610.345 ,78 
2018-03-01,502,6645.628 ,95 
2018-03-01,503,2897.457 ,68 
2018-03-01,504,6227.263 ,142 
2018-03-01,505,4358.098 ,77 
2018-03-01,506,3211.227 ,77 
2018-03-01,507,3773.186 ,77 
2018-03-01,540,5932.665 ,114 
2018-03-01,541,3743.065 ,66 
2018-03-01,5413,4027.546 ,113 
2018-03-01,542,3184.967 ,48 
2018-03-01,5511,1818.105 ,101 
2018-03-01,5513,1490.424 ,102 
2018-03-01,5515,1834.020 ,176 
2018-03-01,5516,3384.640 ,112 
2018-03-01,5517,2891.382 ,78 
2018-03-01,5519,659.880 ,72 
2018-03-01,5522A,1753.225 ,95 
2018-03-01,5522B,1392.928 ,75 
2018-03-01,5523,1357.819 ,113 
2018-03-01,5524,4905.994 ,141 
2018-03-01,5525,717.072 ,48 
2018-03-01,5528,2849.100 ,83 
2018-03-01,5530,6088.067 ,111 
2018-03-01,5531,8344.380 ,162 
2018-03-01,5534,1676.284 ,60 
2018-03-01,5535,2771.362 ,83 
2018-03-01,5536,2643.617 ,106 
2018-03-01,5537,845.105 ,77 
2018-03-01,5615,2807.670 ,102 
2018-03-01,5616,2959.174 ,65 
2018-03-01,5617,1298.682 ,126 
2018-03-01,5618,2922.906 ,83 
2018-03-01,5619,1726.459 ,94 
2018-03-01,5620,3191.687 ,118 
2018-03-01,5621,957.024 ,138 
2018-03-01,5623,7827.408 ,143 
2018-03-01,5624,1834.833 ,39 
2018-03-01,5625,4223.485 ,102 
2018-03-01,5626,4508.528 ,91 
2018-03-01,5627,2268.882 ,63 
2018-03-01,5630,1759.377 ,60 
2018-03-01,5633,3955.599 ,71 
2018-03-01,571,5041.074 ,89 
2018-03-01,5712,4567.469 ,105 
2018-03-01,5713,4989.502 ,95 
2018-03-01,5714,5688.774 ,138 
2018-03-01,600,3946.175 ,105 
2018-03-01,601,5575.034 ,108 
2018-03-01,602,4298.300 ,111 
2018-03-01,603,3194.986 ,86 
2018-03-01,604,3331.119 ,79 
2018-03-01,605,6289.351 ,110 
2018-03-01,606,4204.086 ,70 
2018-03-01,6211,5114.325 ,97 
2018-03-01,640,3523.508 ,92 
2018-03-01,641,4709.862 ,114 
2018-03-01,6411,4517.459 ,87 
2018-03-01,643,5928.890 ,130 
2018-03-01,650,3826.320 ,90 
2018-03-01,651,5966.304 ,110 
2018-03-01,6511,1753.968 ,72 
2018-03-01,6512,3084.318 ,81 
2018-03-01,6513,4150.861 ,111 
2018-03-01,6514,4347.472 ,86 
2018-03-01,6515,5601.965 ,101 
2018-03-01,6516,2689.755 ,57 
2018-03-01,652,4492.183 ,95 
2018-03-01,653,1586.729 ,54 
2018-03-01,654,3083.753 ,70 
2018-03-01,661,2909.883 ,55 
2018-03-01,6611,656.022 ,62 
2018-03-01,6613,1739.696 ,56 
2018-03-01,6614,2355.264 ,72 
2018-03-01,6616,1847.199 ,69 
2018-03-01,6617,1415.360 ,80 
2018-03-01,662,3045.138 ,84 
2018-03-01,6620,1564.605 ,63 
2018-03-01,6623,2419.004 ,76 
2018-03-01,6624,2460.361 ,103 
2018-03-01,6625,1816.038 ,63 
2018-03-01,6627,1699.800 ,60 
2018-03-01,6628,4016.573 ,151 
2018-03-01,6629,4343.901 ,99 
2018-03-01,6630,1981.974 ,55 
2018-03-01,6631,4640.732 ,124 
2018-03-01,6632,2704.228 ,77 
2018-03-01,6635,1036.112 ,70 
2018-03-01,6637,5224.853 ,139 
2018-03-01,6638,1845.106 ,72 
2018-03-01,6640A,1798.601 ,88 
2018-03-01,6640B,1731.789 ,88 
2018-03-01,6642,2369.737 ,79 
2018-03-01,6645,2170.467 ,79 
2018-03-01,6647,2514.483 ,105 
2018-03-01,6648,1964.970 ,70 
2018-03-01,6649,499.137 ,69 
2018-03-01,6654,1149.878 ,77 
2018-03-01,6657,1018.302 ,53 
2018-03-01,670,3384.825 ,75 
2018-03-01,6712,3488.923 ,68 
2018-03-01,6714,2163.326 ,65 
2018-03-01,6715,3112.236 ,104 
2018-03-01,6716,5007.810 ,106 
2018-03-01,672,2834.570 ,74 
2018-03-01,673,3807.430 ,72 
2018-03-01,674,1849.628 ,64 
2018-03-01,700,5349.670 ,88 
2018-03-01,701,3034.056 ,84 
2018-03-01,7011,2956.595 ,84 
2018-03-01,7013A,1339.132 ,35 
2018-03-01,7013B,1338.041 ,35 
2018-03-01,7016,3851.668 ,86 
2018-03-01,7017,3404.704 ,97 
2018-03-01,7018,1935.640 ,81 
2018-03-01,7019,3944.549 ,102 
2018-03-01,7021,3177.862 ,96 
2018-03-01,7022,2950.285 ,108 
2018-03-01,7024,838.493 ,60 
2018-03-01,7025,2515.229 ,81 
2018-03-01,702A,4251.302 ,144 
2018-03-01,702B,2733.563 ,88 
2018-03-01,704,4458.890 ,83 
2018-03-01,705,2456.744 ,61 
2018-03-01,707,4958.375 ,80 
2018-03-01,710,4654.912 ,101 
2018-03-01,720,5545.380 ,116 
2018-03-01,721,5909.547 ,134 
2018-03-01,7211,6505.163 ,133 
2018-03-01,7212,4152.817 ,80 
2018-03-01,740,4897.238 ,103 
2018-03-01,750A,3355.792 ,72 
2018-03-01,750B,3202.101 ,72 
2018-03-01,751,5623.358 ,117 
2018-03-01,752,5897.814 ,115 
2018-03-01,753,4485.907 ,93 
2018-03-01,761,2336.380 ,60 
2018-03-01,7611,3004.794 ,78 
2018-03-01,7612,2853.336 ,141 
2018-03-01,7613,2475.416 ,66 
2018-03-01,771,2072.308 ,48 
2018-03-01,7711,933.811 ,68 
2018-03-01,7713,1416.330 ,56 
2018-03-01,7715,2778.960 ,106 
2018-03-01,7719,555.930 ,45 
2018-03-01,7720,2656.896 ,96 
2018-03-01,7722,980.148 ,52 
2018-03-01,7723,1174.005 ,105 
2018-03-01,7726,1433.870 ,60 
2018-03-01,7727,5363.527 ,89 
2018-03-01,7728,4812.810 ,72 
2018-03-01,773,4231.032 ,52 
2018-03-01,7730,3106.168 ,104 
2018-03-01,7734,1557.298 ,47 
2018-03-01,7737,2296.224 ,84 
2018-03-01,7738,1886.500 ,98 
2018-03-01,7739,980.280 ,56 
2018-03-01,774,6103.205 ,86 
2018-03-01,775,2295.991 ,52 
2018-03-01,8772,698.335 ,55 
2018-03-01,8774,712.836 ,36 
2018-03-01,8777,188.258 ,19 
2018-03-01,9401,14412.111 ,207 
2018-03-01,9403,5915.491 ,80 
2018-03-01,9404,7303.010 ,130 
2018-03-01,9408,5600.268 ,66 
2018-03-01,9701,5174.293 ,72 
2018-03-01,9703,3577.521 ,58 
2018-03-01,9707,8297.302 ,128 
2018-03-01,9709,2696.850 ,36 
2018-03-01,9711A,5080.427 ,60 
2018-03-01,9714,1780.648 ,23 
2018-03-01,N13상계,297.532 ,4 
2018-03-01,N13송파,297.224 ,4 
2018-03-01,N15사당,296.320 ,4 
2018-03-01,N15우이,295.470 ,4 
2018-03-01,N16도봉,302.180 ,4 
2018-03-01,N16온수,302.392 ,4 
2018-03-01,N26강서,286.952 ,4 
2018-03-01,N26중랑,285.512 ,4 
2018-03-01,N30,374.910 ,8 
2018-03-01,N37송파,291.112 ,4 
2018-03-01,N37진관,289.768 ,4 
2018-03-01,N61상계,442.470 ,5 
2018-03-01,N61양천,442.995 ,5 
2018-03-01,N62면목,284.376 ,4 
2018-03-01,N62양천,284.216 ,4 
2018-03-01,N65개화,205.792 ,4 
2018-03-01,N65시흥,204.732 ,4 
2018-03-02,17,1424.515 ,121 
2018-03-02,2,907.475 ,55 
2018-03-02,3,696.720 ,48 
2018-03-02,5,598.364 ,52 
2018-03-02,100,6299.784 ,113 
2018-03-02,101,6201.367 ,162 
2018-03-02,1014,1960.565 ,156 
2018-03-02,1017,2123.649 ,91 
2018-03-02,102,4118.108 ,134 
2018-03-02,1020,3526.327 ,154 
2018-03-02,103,4519.478 ,151 
2018-03-02,104,5283.820 ,176 
2018-03-02,105,4069.793 ,103 
2018-03-02,106,6173.385 ,128 
2018-03-02,107,8075.531 ,124 
2018-03-02,108,8654.253 ,100 
2018-03-02,109,4177.811 ,149 
2018-03-02,110A,4881.366 ,133 
2018-03-02,110B,4882.164 ,133 
2018-03-02,1111,3723.932 ,145 
2018-03-02,1113,907.737 ,75 
2018-03-02,1114,853.149 ,103 
2018-03-02,1115,877.670 ,90 
2018-03-02,1119,4276.575 ,210 
2018-03-02,1120,1510.977 ,83 
2018-03-02,1122,3651.300 ,190 
2018-03-02,1124,1193.525 ,118 
2018-03-02,1126,3307.323 ,180 
2018-03-02,1127,1679.920 ,83 
2018-03-02,1128,2751.241 ,104 
2018-03-02,1129,583.548 ,66 
2018-03-02,1130,918.984 ,118 
2018-03-02,1131,1006.626 ,64 
2018-03-02,1132,3267.910 ,167 
2018-03-02,1133,1301.234 ,101 
2018-03-02,1135,1917.972 ,108 
2018-03-02,1136,882.448 ,90 
2018-03-02,1137,3432.184 ,140 
2018-03-02,1138,970.145 ,55 
2018-03-02,1139,2297.398 ,98 
2018-03-02,1140,1116.010 ,70 
2018-03-02,1141,946.946 ,64 
2018-03-02,1142,1873.355 ,186 
2018-03-02,1143,1794.504 ,72 
2018-03-02,1144,3260.493 ,96 
2018-03-02,1154,2572.721 ,93 
2018-03-02,1155,4243.345 ,137 
2018-03-02,1156,2083.637 ,96 
2018-03-02,1162,914.675 ,116 
2018-03-02,1164,1941.036 ,222 
2018-03-02,1165,3658.512 ,176 
2018-03-02,1166,953.160 ,54 
2018-03-02,120,6410.395 ,194 
2018-03-02,121,5016.606 ,151 
2018-03-02,1213,3936.055 ,151 
2018-03-02,1218,3753.856 ,113 
2018-03-02,1221,1031.051 ,66 
2018-03-02,1222,1946.175 ,105 
2018-03-02,1224,4602.652 ,148 
2018-03-02,1226,411.182 ,52 
2018-03-02,1227,2646.224 ,112 
2018-03-02,130,10079.667 ,208 
2018-03-02,140,11727.567 ,176 
2018-03-02,141,8031.877 ,148 
2018-03-02,142,8558.496 ,144 
2018-03-02,143,12722.660 ,204 
2018-03-02,144,8965.973 ,186 
2018-03-02,145,8081.921 ,177 
2018-03-02,146,9682.807 ,170 
2018-03-02,147,7980.054 ,175 
2018-03-02,148,7683.287 ,170 
2018-03-02,150,12805.699 ,175 
2018-03-02,151,7828.117 ,163 
2018-03-02,152,11838.194 ,183 
2018-03-02,153,10987.239 ,171 
2018-03-02,160,12398.803 ,178 
2018-03-02,162,6470.819 ,168 
2018-03-02,171,7019.360 ,160 
2018-03-02,1711,5328.726 ,182 
2018-03-02,172,5679.043 ,120 
2018-03-02,173,4976.035 ,112 
2018-03-02,201,4123.874 ,84 
2018-03-02,2012,3774.066 ,102 
2018-03-02,2013,1947.864 ,91 
2018-03-02,2014,2465.649 ,132 
2018-03-02,2015,4432.854 ,149 
2018-03-02,2016,6401.368 ,107 
2018-03-02,202,8396.065 ,160 
2018-03-02,2112,3325.069 ,85 
2018-03-02,2113,2374.882 ,125 
2018-03-02,2114,2457.716 ,106 
2018-03-02,2115,5277.078 ,148 
2018-03-02,2211,3783.284 ,211 
2018-03-02,2221,4175.095 ,170 
2018-03-02,2222,2418.168 ,120 
2018-03-02,2224,2013.172 ,113 
2018-03-02,2227,2432.941 ,96 
2018-03-02,2230,2952.941 ,101 
2018-03-02,2233,3921.043 ,94 
2018-03-02,2234,1346.534 ,91 
2018-03-02,2235,1592.546 ,97 
2018-03-02,2311,5066.235 ,88 
2018-03-02,2312A,2105.390 ,48 
2018-03-02,2312B,2103.061 ,49 
2018-03-02,240,4389.396 ,105 
2018-03-02,241,7262.864 ,141 
2018-03-02,2412,3321.458 ,99 
2018-03-02,2413,2316.403 ,89 
2018-03-02,2415,4103.830 ,161 
2018-03-02,242,3816.761 ,86 
2018-03-02,260,7070.966 ,141 
2018-03-02,261,8020.071 ,152 
2018-03-02,262,7708.830 ,134 
2018-03-02,270,6784.991 ,135 
2018-03-02,271,9664.183 ,185 
2018-03-02,272,9756.830 ,210 
2018-03-02,273,6808.978 ,155 
2018-03-02,301,9285.466 ,195 
2018-03-02,3011,4275.402 ,101 
2018-03-02,3012,6349.267 ,104 
2018-03-02,302,5750.038 ,104 
2018-03-02,303,10008.812 ,184 
2018-03-02,320,4951.296 ,126 
2018-03-02,3212,2067.232 ,80 
2018-03-02,3214,2585.376 ,95 
2018-03-02,3216,4206.452 ,120 
2018-03-02,3217,3953.572 ,130 
2018-03-02,3220,3961.205 ,100 
2018-03-02,3313,1729.000 ,133 
2018-03-02,3314,3876.676 ,164 
2018-03-02,3315,4698.445 ,212 
2018-03-02,3316,2051.914 ,108 
2018-03-02,3317,2645.524 ,156 
2018-03-02,3318,3981.861 ,85 
2018-03-02,3319,1921.588 ,82 
2018-03-02,3321,1572.118 ,66 
2018-03-02,3322,3454.330 ,130 
2018-03-02,333,4966.405 ,109 
2018-03-02,340,7602.373 ,185 
2018-03-02,341,5630.018 ,106 
2018-03-02,3411,3962.181 ,117 
2018-03-02,3412,5460.381 ,88 
2018-03-02,3413,5759.432 ,133 
2018-03-02,3414,3570.072 ,120 
2018-03-02,3416,2317.832 ,100 
2018-03-02,3417,4327.964 ,176 
2018-03-02,342,4508.047 ,100 
2018-03-02,3422,3087.084 ,78 
2018-03-02,3425,2564.072 ,92 
2018-03-02,3426,4248.120 ,123 
2018-03-02,350,5215.635 ,104 
2018-03-02,360,11005.600 ,200 
2018-03-02,362,7360.610 ,118 
2018-03-02,370,10964.705 ,216 
2018-03-02,400,4823.920 ,99 
2018-03-02,401,5919.936 ,112 
2018-03-02,402,8094.449 ,144 
2018-03-02,405,3869.536 ,88 
2018-03-02,406,3575.731 ,84 
2018-03-02,407,5818.694 ,116 
2018-03-02,420,7815.394 ,176 
2018-03-02,421,8471.045 ,148 
2018-03-02,4211,3070.860 ,93 
2018-03-02,4212,6479.201 ,178 
2018-03-02,4318방배,4489.521 ,87 
2018-03-02,4318풍납,4370.505 ,84 
2018-03-02,4319,4342.971 ,127 
2018-03-02,440,5812.975 ,121 
2018-03-02,441,8041.877 ,133 
2018-03-02,4412,5122.562 ,136 
2018-03-02,4419,6513.882 ,115 
2018-03-02,4432,2976.796 ,124 
2018-03-02,4433,1591.798 ,143 
2018-03-02,4435,2278.926 ,78 
2018-03-02,461,7472.055 ,120 
2018-03-02,462,11352.814 ,146 
2018-03-02,463,5841.168 ,118 
2018-03-02,470,8034.149 ,140 
2018-03-02,471,12664.135 ,192 
2018-03-02,472,7303.983 ,186 
2018-03-02,500,6633.740 ,150 
2018-03-02,501,4009.960 ,136 
2018-03-02,5012,4682.312 ,101 
2018-03-02,502,8357.379 ,119 
2018-03-02,503,3325.514 ,78 
2018-03-02,504,8101.995 ,182 
2018-03-02,505,6933.620 ,121 
2018-03-02,506,4585.322 ,106 
2018-03-02,507,6003.812 ,123 
2018-03-02,540,7546.272 ,145 
2018-03-02,541,5274.936 ,93 
2018-03-02,5413,5831.101 ,164 
2018-03-02,542,3725.454 ,56 
2018-03-02,5511,3024.411 ,168 
2018-03-02,5513,1709.008 ,117 
2018-03-02,5515,2085.955 ,200 
2018-03-02,5516,3826.350 ,127 
2018-03-02,5517,3335.361 ,90 
2018-03-02,5519,806.194 ,88 
2018-03-02,5522A,2030.050 ,110 
2018-03-02,5522B,1857.027 ,101 
2018-03-02,5523,1533.212 ,128 
2018-03-02,5524,5636.626 ,162 
2018-03-02,5525,1075.608 ,72 
2018-03-02,5528,4293.168 ,125 
2018-03-02,5530,6973.568 ,128 
2018-03-02,5531,10091.391 ,196 
2018-03-02,5534,2909.607 ,104 
2018-03-02,5535,3644.378 ,109 
2018-03-02,5536,4086.038 ,164 
2018-03-02,5537,1020.954 ,94 
2018-03-02,5615,3525.047 ,128 
2018-03-02,5616,3823.752 ,84 
2018-03-02,5617,1484.208 ,144 
2018-03-02,5618,4191.383 ,121 
2018-03-02,5619,2424.629 ,132 
2018-03-02,5620,4112.664 ,152 
2018-03-02,5621,1104.096 ,159 
2018-03-02,5623,9031.147 ,165 
2018-03-02,5624,3054.838 ,65 
2018-03-02,5625,4477.574 ,108 
2018-03-02,5626,6265.745 ,125 
2018-03-02,5627,2617.509 ,73 
2018-03-02,5630,2583.444 ,88 
2018-03-02,5633,5001.753 ,90 
2018-03-02,571,6196.128 ,108 
2018-03-02,5712,5655.992 ,130 
2018-03-02,5713,6569.635 ,125 
2018-03-02,5714,6429.253 ,156 
2018-03-02,600,6651.984 ,175 
2018-03-02,601,7739.013 ,149 
2018-03-02,602,6061.124 ,156 
2018-03-02,603,4495.271 ,121 
2018-03-02,604,4383.767 ,103 
2018-03-02,605,7316.536 ,128 
2018-03-02,606,5614.438 ,91 
2018-03-02,6211,5428.645 ,103 
2018-03-02,640,4248.761 ,111 
2018-03-02,641,7105.214 ,172 
2018-03-02,6411,5828.883 ,112 
2018-03-02,643,6933.899 ,154 
2018-03-02,650,5610.179 ,132 
2018-03-02,651,6671.424 ,123 
2018-03-02,6511,1880.057 ,76 
2018-03-02,6512,4531.635 ,120 
2018-03-02,6513,5347.438 ,143 
2018-03-02,6514,5611.272 ,111 
2018-03-02,6515,7265.915 ,131 
2018-03-02,6516,3683.642 ,78 
2018-03-02,652,5284.499 ,112 
2018-03-02,653,2114.801 ,72 
2018-03-02,654,4232.151 ,96 
2018-03-02,661,3913.728 ,74 
2018-03-02,6611,801.699 ,72 
2018-03-02,6613,2236.752 ,72 
2018-03-02,6614,3140.404 ,96 
2018-03-02,6616,3156.529 ,118 
2018-03-02,6617,1571.012 ,91 
2018-03-02,662,3817.564 ,106 
2018-03-02,6620,1788.120 ,72 
2018-03-02,6623,3182.900 ,100 
2018-03-02,6624,3343.904 ,140 
2018-03-02,6625,2507.862 ,87 
2018-03-02,6627,2294.730 ,81 
2018-03-02,6628,4925.011 ,185 
2018-03-02,6629,4971.617 ,113 
2018-03-02,6630,2633.081 ,72 
2018-03-02,6631,5685.959 ,152 
2018-03-02,6632,4146.908 ,118 
2018-03-02,6635,1347.523 ,91 
2018-03-02,6637,6879.608 ,183 
2018-03-02,6638,2050.844 ,80 
2018-03-02,6640A,2027.322 ,99 
2018-03-02,6640B,1952.286 ,98 
2018-03-02,6642,2819.992 ,94 
2018-03-02,6645,2582.057 ,94 
2018-03-02,6647,3186.014 ,133 
2018-03-02,6648,2301.692 ,82 
2018-03-02,6649,592.786 ,82 
2018-03-02,6654,1252.182 ,85 
2018-03-02,6657,1114.586 ,58 
2018-03-02,670,4597.626 ,102 
2018-03-02,6712,4005.096 ,78 
2018-03-02,6714,2568.192 ,77 
2018-03-02,6715,4478.290 ,150 
2018-03-02,6716,7651.263 ,162 
2018-03-02,672,3101.010 ,81 
2018-03-02,673,4229.309 ,80 
2018-03-02,674,2545.004 ,88 
2018-03-02,700,7290.276 ,118 
2018-03-02,701,4327.954 ,116 
2018-03-02,7011,4234.442 ,114 
2018-03-02,7013A,1728.495 ,45 
2018-03-02,7013B,1731.960 ,45 
2018-03-02,7016,7077.512 ,148 
2018-03-02,7017,4802.178 ,132 
2018-03-02,7018,3435.344 ,131 
2018-03-02,7019,5542.915 ,142 
2018-03-02,7021,4835.568 ,141 
2018-03-02,7022,4148.733 ,139 
2018-03-02,7024,939.139 ,67 
2018-03-02,7025,3664.752 ,112 
2018-03-02,702A,5413.680 ,180 
2018-03-02,702B,3346.564 ,106 
2018-03-02,704,5079.266 ,91 
2018-03-02,705,3447.368 ,84 
2018-03-02,707,6034.439 ,97 
2018-03-02,710,5358.613 ,116 
2018-03-02,720,7407.102 ,155 
2018-03-02,721,7587.610 ,172 
2018-03-02,7211,7727.938 ,158 
2018-03-02,7212,5677.371 ,98 
2018-03-02,740,6657.025 ,137 
2018-03-02,750A,3914.215 ,84 
2018-03-02,750B,4015.863 ,90 
2018-03-02,751,6889.742 ,143 
2018-03-02,752,6721.727 ,131 
2018-03-02,753,4532.938 ,94 
2018-03-02,761,2923.082 ,75 
2018-03-02,7611,3774.323 ,98 
2018-03-02,7612,3995.884 ,195 
2018-03-02,7613,3226.207 ,86 
2018-03-02,771,2242.679 ,52 
2018-03-02,7711,1592.538 ,116 
2018-03-02,7713,2109.167 ,83 
2018-03-02,7715,3014.985 ,114 
2018-03-02,7719,553.782 ,45 
2018-03-02,7720,3320.751 ,120 
2018-03-02,7722,1394.371 ,74 
2018-03-02,7723,1408.806 ,126 
2018-03-02,7726,1440.974 ,60 
2018-03-02,7727,6161.675 ,101 
2018-03-02,7728,6236.944 ,93 
2018-03-02,773,5365.913 ,66 
2018-03-02,7730,3881.583 ,130 
2018-03-02,7734,2120.576 ,64 
2018-03-02,7737,2842.674 ,104 
2018-03-02,7738,2540.312 ,132 
2018-03-02,7739,1365.390 ,78 
2018-03-02,774,7455.630 ,105 
